iteracion;tiempo (ms);fitness total;fitness 1;fitness 2;fitness 3;fitness 4;tamaño;porcentajeMejora;vecindad.
0;418;0.6013684256448046;0.46024;0.9911111111111112;0.39999999999999997;0.574060427413412;25;100.0;MoveRejilla_2
1;841;0.6013684256448046;0.46024;0.9911111111111112;0.39999999999999997;0.574060427413412;25;100.0;MoveRejilla_3
2;1247;0.6013684256448046;0.46024;0.9911111111111112;0.39999999999999997;0.574060427413412;25;100.0;MoveRejilla_4
3;1266;0.6013684256448046;0.46024;0.9911111111111112;0.39999999999999997;0.574060427413412;25;100.0;MoveRejilla_5
4;1326;0.6195415675755342;0.50248;0.9798518518518519;0.39999999999999997;0.5615327929255711;25;100.0;MoveRejilla_5
5;1334;0.6195415675755342;0.50248;0.9798518518518519;0.39999999999999997;0.5615327929255711;25;100.0;MoveRejilla_6
6;1377;0.6195415675755342;0.50248;0.9798518518518519;0.39999999999999997;0.5615327929255711;25;100.0;MoveMaxCarga
7;2024;0.7669441078457382;0.674512;0.8955061728395062;0.9200000000000003;0.6068533529845247;25;100.0;MoveMaxCarga
8;2215;0.7733005540260379;0.6892320000000001;0.8866049382716049;0.9200000000000003;0.6252763448784082;25;100.0;MoveMaxCarga
9;2339;0.7761201211299436;0.694736;0.8822716049382716;0.9200000000000003;0.6440677966101696;25;100.0;MoveMaxCarga
10;2375;0.7761201211299436;0.694736;0.8822716049382716;0.9200000000000003;0.6440677966101696;25;100.0;MoveRejilla_1
11;2782;0.7761201211299436;0.694736;0.8822716049382716;0.9200000000000003;0.6440677966101696;25;100.0;MoveRejilla_2
12;3204;0.7761201211299436;0.694736;0.8822716049382716;0.9200000000000003;0.6440677966101696;25;100.0;MoveRejilla_3
13;3609;0.7761201211299436;0.694736;0.8822716049382716;0.9200000000000003;0.6440677966101696;25;100.0;MoveRejilla_4
14;3875;0.7785667877966103;0.694736;0.8913333333333334;0.9200000000000003;0.6440677966101696;25;100.0;MoveRejilla_4
15;3931;0.7785667877966103;0.694736;0.8913333333333334;0.9200000000000003;0.6440677966101696;25;100.0;MoveRejilla_5
16;4275;0.7828523260329159;0.699984;0.9002098765432098;0.9200000000000003;0.630066322770818;25;100.0;MoveRejilla_5
17;4342;0.7828523260329159;0.699984;0.9002098765432098;0.9200000000000003;0.630066322770818;25;100.0;MoveMaxCarga
18;4426;0.7836004124981578;0.699984;0.9024074074074073;0.9200000000000003;0.6326455416359618;25;100.0;MoveMaxCarga
19;4465;0.7836004124981578;0.699984;0.9024074074074073;0.9200000000000003;0.6326455416359618;25;100.0;MoveRejilla_6
20;4532;0.7836446276787031;0.699984;0.9024074074074073;0.9200000000000003;0.633382461311717;25;100.0;MoveRejilla_6
21;4601;0.7836446276787031;0.699984;0.9024074074074073;0.9200000000000003;0.633382461311717;25;100.0;MoveMaxCarga
