iteracion;tiempo (ms);fitness total;fitness 1;fitness 2;fitness 3;fitness 4;tamaño;porcentajeMejora;vecindad.
0;68;0.8478700918964078;0.0;0.8710526315789475;0.3157894736842105;0.7552910052910053;19;100.0;0;0.8317984544695072;0.8478700918964078;0.052873563218390804
1;111;0.8553638262322473;0.0;0.8739766081871346;0.3684210526315789;0.7354497354497355;19;100.0;0;0.8478700918964078;0.8553638262322473;0.0367816091954023
2;198;0.8635718462823726;0.0;0.8769005847953217;0.42105263157894735;0.7275132275132274;19;100.0;0;0.8553638262322473;0.8635718462823726;0.06896551724137931
3;245;0.8642861319966584;0.0;0.8769005847953217;0.42105263157894735;0.7394179894179894;19;100.0;0;0.8635718462823726;0.8642861319966584;0.022988505747126436
4;285;0.8659486215538846;0.0;0.8798245614035088;0.42105263157894735;0.753968253968254;19;100.0;0;0.8642861319966584;0.8659486215538846;0.022988505747126436
5;327;0.8666982038429407;0.0;0.8828947368421054;0.42105263157894735;0.7526455026455027;19;100.0;0;0.8659486215538846;0.8666982038429407;0.01839080459770115
6;412;0.8748310359231413;0.0;0.8828947368421054;0.47368421052631576;0.7566137566137566;19;100.0;0;0.8666982038429407;0.8748310359231413;0.07816091954022988
7;501;0.8748310359231413;0.0;0.8828947368421054;0.47368421052631576;0.7566137566137566;19;100.0;0;0.8748310359231413;0.8684442355889724;0.04597701149425287
8;568;0.877092731829574;0.0;0.8830409356725146;0.47368421052631576;0.7936507936507937;19;100.0;0;0.8684442355889724;0.877092731829574;0.06436781609195402
9;611;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;0;0.877092731829574;0.8772514619883042;0.027586206896551724
10;628;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;1;0.8772514619883042;0.8772514619883042;0.0
11;639;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;2;0.8772514619883042;0.8772514619883042;0.0
12;649;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;3;0.8772514619883042;0.8772514619883042;0.0
13;662;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;4;0.8772514619883042;0.8772514619883042;0.0
14;671;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;0;0.8772514619883042;0.8772514619883042;0.009195402298850575
15;692;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;1;0.8772514619883042;0.8772514619883042;0.0
16;703;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;2;0.8772514619883042;0.8772514619883042;0.0
17;713;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;3;0.8772514619883042;0.8772514619883042;0.0
18;724;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;4;0.8772514619883042;0.8772514619883042;0.0
19;733;0.8772514619883042;0.0;0.8830409356725146;0.47368421052631576;0.7962962962962963;19;100.0;0;0.8772514619883042;0.8772514619883042;0.009195402298850575
20;775;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.8772514619883042;0.8776482873851296;0.009195402298850575
21;840;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.8776482873851296;0.877172096908939;0.041379310344827586
22;864;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.877172096908939;0.8767752715121137;0.01839080459770115
23;885;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;1;0.8767752715121137;0.8767752715121137;0.0
24;896;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;2;0.8767752715121137;0.8767752715121137;0.0
25;907;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;3;0.8767752715121137;0.8767752715121137;0.0
26;919;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;4;0.8767752715121137;0.8767752715121137;0.0
27;929;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.8767752715121137;0.8767752715121137;0.009195402298850575
28;973;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.8767752715121137;0.8762197159565581;0.03218390804597701
29;993;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.8762197159565581;0.8762990810359232;0.009195402298850575
30;1012;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.8762990810359232;0.8765371762740184;0.009195402298850575
31;1054;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.8765371762740184;0.877092731829574;0.03218390804597701
32;1094;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;0;0.877092731829574;0.8776482873851296;0.009195402298850575
33;1133;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;1;0.8776482873851296;0.8776482873851296;0.0
34;1145;0.8776482873851296;0.0;0.8830409356725146;0.47368421052631576;0.8029100529100529;19;100.0;2;0.8776482873851296;0.8776482873851296;0.0
