iteracion;tiempo (ms);fitness total;fitness 1;fitness 2;fitness 3;fitness 4;tamaño;porcentajeMejora;vecindad.
0;58;0.8600524227234754;0.0;0.9852339181286549;0.21052631578947367;0.7076719576719577;19;100.0;MoveRejilla_2
1;112;0.8600524227234754;0.0;0.9852339181286549;0.21052631578947367;0.7076719576719577;19;100.0;MoveRejilla_3
2;168;0.8600524227234754;0.0;0.9852339181286549;0.21052631578947367;0.7076719576719577;19;100.0;MoveRejilla_4
3;199;0.8679866332497911;0.0;0.9853801169590644;0.2631578947368421;0.7076719576719577;19;100.0;MoveRejilla_4
4;208;0.8679866332497911;0.0;0.9853801169590644;0.2631578947368421;0.7076719576719577;19;100.0;MoveRejilla_5
5;552;0.9066165413533834;0.0;0.9941520467836257;0.47368421052631576;0.7857142857142857;19;100.0;MoveRejilla_5
6;606;0.9066165413533834;0.0;0.9941520467836257;0.47368421052631576;0.7857142857142857;19;100.0;MoveRejilla_6
7;695;0.9073308270676691;0.0;0.9941520467836257;0.47368421052631576;0.7976190476190477;19;100.0;MoveRejilla_6
8;768;0.9078863826232246;0.0;0.9941520467836257;0.47368421052631576;0.8068783068783069;19;100.0;MoveRejilla_6
9;788;0.9078863826232246;0.0;0.9941520467836257;0.47368421052631576;0.8068783068783069;19;100.0;MoveRejilla_1
10;836;0.9078863826232246;0.0;0.9941520467836257;0.47368421052631576;0.8068783068783069;19;100.0;MoveRejilla_2
11;881;0.9078863826232246;0.0;0.9941520467836257;0.47368421052631576;0.8068783068783069;19;100.0;MoveRejilla_3
12;930;0.9078863826232246;0.0;0.9941520467836257;0.47368421052631576;0.8068783068783069;19;100.0;MoveMaxCarga
13;982;0.9079657477025898;0.0;0.9941520467836257;0.47368421052631576;0.8082010582010581;19;100.0;MoveMaxCarga
14;1028;0.9079657477025898;0.0;0.9941520467836257;0.47368421052631576;0.8082010582010581;19;100.0;MoveRejilla_4
15;1042;0.9079657477025898;0.0;0.9941520467836257;0.47368421052631576;0.8082010582010581;19;100.0;MoveRejilla_5
16;1096;0.908203842940685;0.0;0.9941520467836257;0.47368421052631576;0.8121693121693122;19;100.0;MoveRejilla_5
17;1149;0.908203842940685;0.0;0.9941520467836257;0.47368421052631576;0.8121693121693122;19;100.0;MoveRejilla_6
18;1196;0.908203842940685;0.0;0.9941520467836257;0.47368421052631576;0.8121693121693122;19;100.0;MoveLibre
19;1235;0.908203842940685;0.0;0.9941520467836257;0.47368421052631576;0.8121693121693122;19;100.0;MoveMaxCarga
20;1265;0.908203842940685;0.0;0.9941520467836257;0.47368421052631576;0.8121693121693122;19;100.0;MoveRejilla_1
