iteracion;tiempo (ms);fitness total;fitness 1;fitness 2;fitness 3;fitness 4;tamaño;porcentajeMejora;vecindad.
0;294;0.613041501338729;0.5361608892754973;0.9680555555555556;0.2272727272727273;0.6461988304093567;22;100.0;MoveRejilla_2
1;622;0.613041501338729;0.5361608892754973;0.9680555555555556;0.2272727272727273;0.6461988304093567;22;100.0;MoveRejilla_3
2;935;0.613041501338729;0.5361608892754973;0.9680555555555556;0.2272727272727273;0.6461988304093567;22;100.0;MoveRejilla_4
3;950;0.6144392286114563;0.5361608892754973;0.9732323232323232;0.2272727272727273;0.6461988304093567;22;100.0;MoveRejilla_4
4;966;0.6144392286114563;0.5361608892754973;0.9732323232323232;0.2272727272727273;0.6461988304093567;22;100.0;MoveRejilla_5
5;1060;0.6451569985359435;0.5957930519367721;0.9692827748383305;0.23809523809523808;0.6320662768031189;21;100.0;MoveRejilla_5
6;1091;0.6451569985359435;0.5957930519367721;0.9692827748383305;0.23809523809523808;0.6320662768031189;21;100.0;MoveRejilla_6
7;1154;0.6451569985359435;0.5957930519367721;0.9692827748383305;0.23809523809523808;0.6320662768031189;21;100.0;MoveMaxCarga
8;1233;0.6468317704607034;0.6042745152006009;0.9613168724279836;0.23809523809523808;0.6223196881091617;21;100.0;MoveMaxCarga
9;1562;0.9113815789473684;0.0;0.9303931124106563;0.6842105263157894;0.6257309941520468;19;100.0;MoveMaxCarga
10;1893;0.9310146198830408;0.0;0.940188434048083;0.7894736842105261;0.6457115009746588;19;100.0;MoveMaxCarga
11;2081;0.9310146198830408;0.0;0.940188434048083;0.7894736842105261;0.6457115009746588;19;100.0;MoveRejilla_1
12;2301;0.9310146198830408;0.0;0.940188434048083;0.7894736842105261;0.6457115009746588;19;100.0;MoveRejilla_2
13;2551;0.9310146198830408;0.0;0.940188434048083;0.7894736842105261;0.6457115009746588;19;100.0;MoveRejilla_3
14;2770;0.9310146198830408;0.0;0.940188434048083;0.7894736842105261;0.6457115009746588;19;100.0;MoveLibre
15;2895;0.9321842105263158;0.0;0.9431124106562703;0.7894736842105261;0.652046783625731;19;100.0;MoveLibre
16;2967;0.9321842105263158;0.0;0.9431124106562703;0.7894736842105261;0.652046783625731;19;100.0;MoveRejilla_4
17;3018;0.9322017543859649;0.0;0.94317738791423;0.7894736842105261;0.652046783625731;19;100.0;MoveRejilla_4
18;3128;0.933828947368421;0.0;0.9492040285899935;0.7894736842105261;0.652046783625731;19;100.0;MoveRejilla_4
19;3221;0.9338377192982457;0.0;0.9492365172189734;0.7894736842105261;0.652046783625731;19;100.0;MoveRejilla_4
20;3317;0.9346359649122806;0.0;0.9521929824561403;0.7894736842105261;0.652046783625731;19;100.0;MoveRejilla_4
21;3380;0.9346359649122806;0.0;0.9521929824561403;0.7894736842105261;0.652046783625731;19;100.0;MoveRejilla_5
22;3442;0.9346359649122806;0.0;0.9521929824561403;0.7894736842105261;0.652046783625731;19;100.0;MoveRejilla_6
23;3520;0.9346359649122806;0.0;0.9521929824561403;0.7894736842105261;0.652046783625731;19;100.0;MoveLibre
24;3645;0.93478216374269;0.0;0.9521929824561403;0.7894736842105261;0.6544834307992202;19;100.0;MoveLibre
25;3708;0.93478216374269;0.0;0.9521929824561403;0.7894736842105261;0.6544834307992202;19;100.0;MoveRejilla_1
26;3942;0.93478216374269;0.0;0.9521929824561403;0.7894736842105261;0.6544834307992202;19;100.0;MoveRejilla_2
27;4176;0.93478216374269;0.0;0.9521929824561403;0.7894736842105261;0.6544834307992202;19;100.0;MoveRejilla_3
28;4396;0.93478216374269;0.0;0.9521929824561403;0.7894736842105261;0.6544834307992202;19;100.0;MoveRejilla_4
29;4459;0.93478216374269;0.0;0.9521929824561403;0.7894736842105261;0.6544834307992202;19;100.0;MoveRejilla_5
30;4521;0.93478216374269;0.0;0.9521929824561403;0.7894736842105261;0.6544834307992202;19;100.0;MoveRejilla_6
31;4662;0.9349283625730993;0.0;0.9521929824561403;0.7894736842105261;0.6569200779727096;19;100.0;MoveRejilla_6
32;4724;0.9349283625730993;0.0;0.9521929824561403;0.7894736842105261;0.6569200779727096;19;100.0;MoveRejilla_1
33;4959;0.9349283625730993;0.0;0.9521929824561403;0.7894736842105261;0.6569200779727096;19;100.0;MoveRejilla_2
34;5193;0.9349283625730993;0.0;0.9521929824561403;0.7894736842105261;0.6569200779727096;19;100.0;MoveMaxCarga
35;5318;0.9354839181286548;0.0;0.9521929824561403;0.7894736842105261;0.6661793372319689;19;100.0;MoveMaxCarga
36;5443;0.9354839181286548;0.0;0.9521929824561403;0.7894736842105261;0.6661793372319689;19;100.0;MoveRejilla_3
37;5662;0.9354839181286548;0.0;0.9521929824561403;0.7894736842105261;0.6661793372319689;19;100.0;MoveLibre
38;5724;0.9354839181286548;0.0;0.9521929824561403;0.7894736842105261;0.6661793372319689;19;100.0;MoveRejilla_4
39;5787;0.9354839181286548;0.0;0.9521929824561403;0.7894736842105261;0.6661793372319689;19;100.0;MoveRejilla_5
40;5849;0.9354839181286548;0.0;0.9521929824561403;0.7894736842105261;0.6661793372319689;19;100.0;MoveRejilla_6
41;5912;0.9354839181286548;0.0;0.9521929824561403;0.7894736842105261;0.6661793372319689;19;100.0;MoveMaxCarga
42;6052;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveMaxCarga
43;6240;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveLibre
44;6412;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveRejilla_1
45;6631;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveRejilla_2
46;6850;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveRejilla_3
47;7066;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveMaxCarga
48;7191;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveRejilla_4
49;7239;0.9355716374269005;0.0;0.9521929824561403;0.7894736842105261;0.6676413255360624;19;100.0;MoveRejilla_5
50;7520;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_5
51;7583;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveMaxCarga
52;7708;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveLibre
53;7770;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_6
54;7833;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_1
55;8051;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveLibre
56;8129;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveMaxCarga
57;8192;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_2
58;8411;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_3
59;8629;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_4
60;8676;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_5
61;8754;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_6
62;8817;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_1
63;9035;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_2
64;9255;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveMaxCarga
65;9333;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveLibre
66;9396;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_3
67;9615;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_4
68;9662;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_5
69;9740;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_6
70;9818;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_1
71;10021;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_2
72;10256;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveLibre
73;10381;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveMaxCarga
74;10522;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_3
75;10725;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_4
76;10834;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_5
77;10897;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_6
78;10959;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_1
79;11178;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_2
80;11414;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveLibre
81;11476;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_3
82;11695;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveMaxCarga
83;11757;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_4
84;11867;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_5
85;12003;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveRejilla_6
86;12128;0.9383201754385964;0.0;0.9609649122807017;0.7894736842105261;0.6739766081871346;19;100.0;MoveMaxCarga
87;12269;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
88;12332;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveLibre
89;12394;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
90;12457;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_1
91;12675;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_2
92;12910;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_3
93;13129;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_4
94;13223;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_5
95;13302;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_6
96;13427;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveLibre
97;13505;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
98;13568;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_1
99;13771;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_2
100;14005;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_3
101;14208;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_4
102;14272;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_5
103;14396;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_6
104;14536;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveLibre
105;14599;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
106;14661;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_1
107;14880;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_2
108;15099;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_3
109;15319;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_4
110;15428;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_5
111;15490;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_6
112;15631;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveLibre
113;15693;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
114;15772;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_1
115;15975;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_2
116;16209;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_3
117;16413;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_4
118;16445;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_5
119;16507;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_6
120;16570;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveLibre
121;16648;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
122;16710;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_1
123;16925;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_2
124;17144;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_3
125;17349;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_4
126;17396;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_5
127;17474;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_6
128;17599;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
129;17677;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveLibre
130;17802;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_1
131;18019;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_2
132;18255;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_3
133;18458;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_4
134;18489;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_5
135;18552;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_6
136;18630;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveMaxCarga
137;18692;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveLibre
138;18755;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_1
139;18973;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_2
140;19208;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_3
141;19412;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_4
142;19459;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_5
143;19521;0.9389342105263156;0.0;0.9609649122807017;0.7894736842105261;0.6842105263157895;19;100.0;MoveRejilla_6
